playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8471214,2008,Alex Ovechkin,2008020036,WSH,VAN,HOME,20081013,L,other,16,1,0.665,1,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0.4,0.051,0.051,0.051,0.051,0,1,0,1,0,0,0,1,0,0,0.051,0,0,0,0,0,1,1,1,0.014,0,0,0.065,0.065,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8471214,2008,Alex Ovechkin,2008020036,WSH,VAN,HOME,20081013,L,all,1403,23,0.665,0.4733,0.6221,0.65,0.5692,0.6667,0.5686,1,3.594,0.251,0.197,0.927,0.101,2.003,1.521,0.251,0.254,0.254,0,0,3,2,2,7,0,0,0,0,0,0,4,1,3,5,0,0,0,5,1,3,4,1,0,0.168,0.083,0,0,0,0,7.392,5,5.11,1,0.042,0,0,0.293,0.296,0.296,23,6,4,5,8,2,5,4,12,0,1,2197,0,0,0,1,10.978,0.78,0.776,0.789,0.785,10,6,10,26,1,1,0,13,3,0,0.448,0.332,0,1,0,0,27.196,16,16.204,0.159,0.059,0,0.938,0.948,0.943,5.739,0.868,0.865,0.869,0.866,3,5,6,14,1,0,0,6,1,1,0.217,0.08,0.571,0,0,1,13.475,8,7.893,0.091,0,0,0.959,0.96,0.956,1.878,1.141,37,28,0,0,0,0,0,0
8471214,2008,Alex Ovechkin,2008020036,WSH,VAN,HOME,20081013,L,5on5,893,14,0.665,0.6826,0.621,0.6667,0.6034,0.6923,0.6136,3,2.911,0.192,0.151,0.79,0.081,1.54,1.245,0.192,0.195,0.195,0,0,3,1,1,5,0,0,0,0,0,0,4,0,3,4,0,0,0,5,1,2,3,1,0,0.109,0.083,0,0,0,0,5.392,4,4.11,0,0.03,0,0,0.222,0.226,0.226,14,2,1,4,7,1,4,0,9,0,1,1889,0,0,0,0,6.465,0.4,0.4,0.409,0.408,6,3,7,16,0,0,0,7,2,0,0.164,0.236,0,0,0,0,17.196,9,9.204,0.07,0,0,0.47,0.48,0.478,2.785,0.186,0.185,0.187,0.186,2,2,4,8,0,0,0,3,1,0,0.106,0.08,0,0,0,0,7.475,4,3.893,0.04,0,0,0.227,0.227,0.226,1.809,1.104,35,23,0,0,0,0,0,0
8471214,2008,Alex Ovechkin,2008020036,WSH,VAN,HOME,20081013,L,4on5,118,3,0.665,0.0069,0.6542,0.2,0.2857,0.3333,0.2857,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,2,0,0,264,0,0,0,0,0.757,0.004,0.004,0.004,0.004,1,0,0,1,0,0,0,1,0,0,0.004,0,0,0,0,0,1,1,1,0.003,0,0,0.008,0.008,0.008,1.484,0.575,0.573,0.575,0.573,1,1,2,4,1,0,0,1,0,1,0.004,0,0.571,0,0,1,4,2,2,0.038,0,0,0.612,0.612,0.61,0.07,0.037,2,5,0,0,0,0,0,0
8471214,2008,Alex Ovechkin,2008020036,WSH,VAN,HOME,20081013,L,5on4,376,5,0.665,0.7517,0,0.8,0,0.7143,0,1,0.683,0.059,0.046,0.137,0.02,0.462,0.276,0.059,0.059,0.059,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0.059,0,0,0,0,0,2,1,1,1,0.011,0,0,0.07,0.07,0.07,5,4,0,1,0,0,1,3,1,0,0,38,0,0,0,1,3.356,0.324,0.321,0.324,0.321,3,2,3,8,1,1,0,4,1,0,0.228,0.096,0,1,0,0,8,5,5,0.071,0.059,0,0.396,0.396,0.392,1.471,0.107,0.107,0.107,0.107,0,2,0,2,0,0,0,2,0,0,0.107,0,0,0,0,0,2,2,2,0.013,0,0,0.12,0.12,0.12,0,0,0,0,0,0,0,0,0,0
8471214,2008,Alex Ovechkin,2008020050,WSH,PIT,AWAY,20081016,L,other,78,2,1.515,0,0,0,0.125,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.03,0.03,0.03,0.03,0,1,1,2,0,0,0,1,0,0,0.03,0,0,0,0,0,2,1,1,0.014,0,0,0.043,0.043,0.043,0,1.136,1,7,0,0,0,0,0,0
8471214,2008,Alex Ovechkin,2008020050,WSH,PIT,AWAY,20081016,L,all,1550,25,1.515,0.4541,0.3272,0.6909,0.4746,0.6111,0.45,1,5.03,0.225,0.273,1.098,0.141,2.952,2.311,0.221,0.234,0.23,0,0,5,2,4,11,0,0,0,0,1,0,4,2,5,7,0,0,0,3,0,1,7,0,0,0.225,0,0,0,0,0,11.103,7,7.055,0,0.054,0,0,0.279,0.29,0.285,25,5,5,3,12,6,2,3,14,0,1,2050,0,2,1,0,15.427,0.539,0.529,0.557,0.547,17,5,16,38,1,0,0,22,0,0,0.539,0,0,1,0,0,37.786,22,22.079,0.187,0,0,0.726,0.748,0.733,9.749,0.648,0.642,0.646,0.639,10,4,3,17,1,1,1,11,3,0,0.245,0.403,0,0,1,0,17.114,14,14.042,0.146,0.177,0.177,0.616,0.612,0.611,1.011,2.079,28,31,0,0,0,0,0,0
8471214,2008,Alex Ovechkin,2008020050,WSH,PIT,AWAY,20081016,L,5on5,1015,19,1.515,0.6155,0.5751,0.7073,0.5745,0.6296,0.5806,1,5.03,0.225,0.273,1.098,0.141,2.952,2.311,0.221,0.234,0.23,0,0,5,2,3,10,0,0,0,0,1,0,4,2,5,7,0,0,0,2,0,0,7,0,0,0.225,0,0,0,0,0,10.103,7,7.055,0,0.054,0,0,0.279,0.29,0.285,19,4,4,3,8,4,1,2,12,0,1,1608,0,2,1,0,12.311,0.509,0.499,0.527,0.518,14,3,12,29,1,0,0,17,0,0,0.509,0,0,1,0,0,28.786,17,17.079,0.124,0,0,0.633,0.655,0.642,7.099,0.318,0.318,0.316,0.315,8,2,2,12,0,0,0,9,1,0,0.182,0.136,0,0,0,0,12.114,10,10.042,0.09,0,0,0.408,0.404,0.403,1.011,0.747,27,20,0,0,0,0,0,0
8471214,2008,Alex Ovechkin,2008020050,WSH,PIT,AWAY,20081016,L,4on5,106,2,1.515,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0.301,0.295,0.301,0.295,2,1,0,3,1,1,1,1,2,0,0.034,0.267,0,0,1,0,3,3,3,0.042,0.177,0.177,0.165,0.165,0.164,0,0.197,0,4,0,0,0,0,0,0
8471214,2008,Alex Ovechkin,2008020050,WSH,PIT,AWAY,20081016,L,5on4,351,2,1.515,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,0,78,0,0,0,0,3.117,0.03,0.03,0.03,0.03,3,2,4,9,0,0,0,5,0,0,0.03,0,0,0,0,0,9,5,5,0.063,0,0,0.093,0.093,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
